,dataset_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
3,kr-vs-kp,2.5037081,-1.8756335,0.28800112,2.8067567,0.9299885,1.9772526,-1.1627549,-1.1066822,-3.1702566,2.0590935,-0.6243311,-3.11266,-0.66469485,0.64843047,-1.91553,1.299949,-1.5612694,3.0928257,0.31591702,1.726938,2.914556,3.751379,-1.1498208,-0.8752673,-1.5375341,3.9607868,-2.6537356,3.255775,3.7174904,1.8953396,3.4040012,-2.1316972
3,kr-vs-kp,2.5037081,-1.8756335,0.28800112,2.8067567,0.9299885,1.9772526,-1.1627549,-1.1066822,-3.1702566,2.0590935,-0.6243311,-3.11266,-0.66469485,0.64843047,-1.91553,1.299949,-1.5612694,3.0928257,0.31591702,1.726938,2.914556,3.751379,-1.1498208,-0.8752673,-1.5375341,3.9607868,-2.6537356,3.255775,3.7174904,1.8953396,3.4040012,-2.1316972
6,letter,1.9913313,-2.2241054,1.557073,2.0417655,1.2725248,0.36895955,0.5241201,1.4757518,-1.6615229,0.26728696,1.6940982,-1.4381073,-0.73326164,1.3861353,-0.8509494,1.2154071,0.32479155,0.940357,0.6159835,-0.57564414,1.2629,2.4813259,-0.2967403,0.9543029,-0.030745342,1.2289397,-1.013358,-0.31727332,1.9341217,2.6428459,1.2942636,-2.0688488
11,balance-scale,2.5852883,-2.6030166,1.5052407,2.749738,1.5993577,0.8834015,0.14452375,1.2152917,-2.4159636,0.876578,1.6068404,-2.0081875,-0.91156226,1.5843029,-1.2964549,1.5074317,0.03596834,1.6444638,0.6529136,-0.043816715,2.1322412,3.2751222,-0.66302973,0.9016576,-0.54664433,2.1959808,-1.4607066,0.37649885,2.779426,2.9979014,2.1344314,-2.5493705
12,mfeat-factors,2.1204276,-2.3635824,1.6528276,2.184551,1.3955861,0.3846975,0.5519478,1.6040035,-1.7535887,0.28391546,1.8503273,-1.4921063,-0.7815149,1.506273,-0.9083866,1.3001629,0.37742323,0.9836348,0.6618636,-0.6067153,1.3735595,2.6035554,-0.3092004,1.0672742,-0.045410432,1.2907292,-1.034498,-0.3740598,2.047417,2.825507,1.3760852,-2.2135918
14,mfeat-fourier,2.1213288,-2.3654244,1.655274,2.1850715,1.3969859,0.38335234,0.553831,1.6073844,-1.7532675,0.28192526,1.8535798,-1.4923055,-0.78165704,1.5079914,-0.90846384,1.3008544,0.3787461,0.9825996,0.6632662,-0.6090797,1.3727107,2.6043508,-0.30761415,1.0691245,-0.04385624,1.2890507,-1.0345757,-0.37654796,2.0474973,2.8288467,1.375066,-2.2154422
15,breast-w,2.9826803,-2.4277387,0.58684105,3.0960796,1.5338514,1.7703453,-0.9657939,-0.27247983,-3.5003026,2.0537615,0.3230348,-2.7838917,-0.7448966,1.2821138,-1.9010041,1.4056439,-1.0753791,2.8448453,0.58953726,1.4510629,3.2095904,4.115805,-1.1866233,-0.12716435,-1.5295923,3.7036252,-2.1391687,2.4028614,3.7601979,2.5283325,3.3307347,-2.4778113
16,mfeat-karhunen,2.0869217,-2.3284237,1.6210619,2.1472337,1.3688236,0.37962967,0.5419096,1.5728865,-1.7326536,0.28373176,1.8143135,-1.4696496,-0.76724,1.4837102,-0.8954412,1.2773327,0.36863476,0.96907103,0.6495633,-0.5932683,1.3508203,2.5677752,-0.3075989,1.0448933,-0.04345236,1.2722421,-1.0150797,-0.36365673,2.0169182,2.7763276,1.357682,-2.173736
18,mfeat-morphological,2.2085679,-2.458684,1.7463204,2.2804484,1.4657841,0.39141268,0.58644164,1.6957474,-1.8029883,0.274407,1.9525667,-1.5516644,-0.8193307,1.5656469,-0.93868464,1.3601099,0.4037001,1.0158575,0.6983713,-0.6530163,1.423432,2.6987624,-0.30648187,1.1274874,-0.043172687,1.3299401,-1.0886128,-0.4109524,2.1227672,2.9629254,1.4156758,-2.321387
22,mfeat-zernike,2.097857,-2.3404634,1.6345392,2.1586893,1.3762168,0.37968192,0.5467495,1.584044,-1.7380688,0.2798127,1.8263754,-1.4796635,-0.77143955,1.4911054,-0.9001849,1.2845604,0.37036252,0.97256076,0.6563859,-0.5998849,1.3541011,2.5828693,-0.30418882,1.0504981,-0.04127118,1.2768602,-1.0258831,-0.36603895,2.0269883,2.796728,1.3620867,-2.1894271
